epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,16823.5,0.55298,0.34394,0.91809,0.70987,0.66317,0.66471,0.51082,1.3324,1.45516,1.56363,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
92,17002.9,0.50856,0.30203,0.89678,0.74934,0.64214,0.66943,0.51923,1.30324,1.45156,1.53457,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101
93,17136.7,0.49916,0.28944,0.89111,0.74032,0.64846,0.67221,0.52349,1.2915,1.46821,1.51595,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
94,17314.5,0.49345,0.2857,0.88554,0.74307,0.6601,0.67935,0.52913,1.29566,1.4316,1.52493,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05
95,17464.3,0.48118,0.27771,0.88076,0.76653,0.6429,0.67953,0.52977,1.28462,1.44742,1.51224,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05
96,17648.8,0.47517,0.27682,0.87561,0.75361,0.65598,0.67474,0.52825,1.29113,1.45151,1.52189,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05
97,17831.2,0.47081,0.27321,0.87729,0.75159,0.65396,0.6794,0.5315,1.28634,1.4462,1.5187,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
98,18015.5,0.46685,0.27058,0.87176,0.7619,0.65287,0.67963,0.53244,1.29206,1.44072,1.52526,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05
99,18217.3,0.47053,0.26922,0.87729,0.75949,0.64751,0.67884,0.53201,1.28901,1.4521,1.52586,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05
100,18407.4,0.47091,0.2743,0.87849,0.75355,0.65947,0.68173,0.53285,1.28853,1.44487,1.52576,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05
